-2.0.-1.-2
-2.-2.2.-3.1.-3.2.-4.2.24
-2.2.-3.1.-3.2.-4.2.24
2.-3.1.-3.2.-4.2.24
-3.1.-3.2.-4.2.24
1.-3.2.-4.2.24
-3.2.-4.2.24
2.-4.2.24
-4.2.24
0.0.-19
3.2.12
12.4.-4
-9.-1.-2
4.5.-2
0.1.2
12.-2.-2.2
-2.2.1
2.-7.3
12.-1.-2.2.-4.2.-3.1.-3.2
-1.-2.2.-4.2.-3.1.-3.2
2.0.7
0.7.-7.5
4.0.-1
0.4.-5
-14.2.-12
4.5.2
4.-8.0
2.24.5
5.-2.2
1.2.-2
5.-5.5
-1.1.2.2
1.2.2
-2.-1.-4
3.-5.3
5.0.-1
2.-12.24.5
5.-1.1
-2.-2.2.-3.1
-2.2.-3.1
-1.1.-3
2.12.1
12.1.2
2.2.-4.5
3.-3.3
2.2.-4.2
1.2.-12
0.5.-5.5
2.-4.2.-3
-4.2.-3
2.-3.5
7.-2.2
5.-2.14
3.-3.-1
2.2.-5
-5.5.-2
-4.5.-5
-2.2.-4.5.-12.12
2.-4.5.-12.12
-4.5.-12.12
5.-12.12.-2
-12.12.-2
0.-2.-5
-2.2.-4.5
2.-4.5.-12
5.-12.12
2.3.-3
0.2.0
0.0.0
-19.12.-1.-4
12.-1.-4
-4.5.-1
-2.0.-1
0.2.-4
2.0.0.5.2
2.0.0
0.0.5.2
0.5.2
0.-2.-2.0.-1
-2.-2.0.-1.-2
-2.-2.0.-1
0.0.0.0.5.0
0.0.0.0.5
0.0.0.0
0.0.0.5.0
0.0.0.5
5.0.-2.-1.0
5.0.-2.-1
0.-1.-2.0.-2.-1
-1.-2.0.-2.-1
-2.0.-2.-1
0.-2.-1.0.-2.-1
-2.-1.0.-2.-1
-1.0.-2.-1
2.0.-2
0.-2.-1.1.-1
0.-2.-1.1
1.4.-5
5.2.-3.-4
2.-3.-4
3.-5.5
-5.5.-4
0.0.5.-2
0.5.-2
-1.0.-14
5.-5.4
5.4.-4
5.2.1
2.-12.24
4.5.-9
2.2.-2.-2
2.-2.-2.2.-3.1.-3.2.-4
2.-2.-2.2.-3.1.-3.2
2.-2.-2.2.-3.1.-3
2.-2.-2.2.-3.1
2.-2.-2.2.-3
-2.-2.2.-3.1.-3.2
-2.-2.2.-3.1.-3
-2.-2.2.-3
-2.2.-3.1.-3.2
-2.2.-3.1.-3
2.-3.1.-3
-3.1.-3
-2.-1.1.-3
-2.2.-4.2.-3.1.-3
-2.2.-4.2.-3.1
-2.2.-4.2.-3
2.-4.2.-3.1.-3
-4.2.-3.1.-3
3.2.-10.7
2.-10.7
12.-2.-2
12.-1.-2.2.-4.2.-3.1.-3
12.-1.-2.2.-4.2.-3.1
12.-1.-2.2.-4.2.-3
12.-1.-2.2.-4.2
12.-1.-2.2.-4
12.-1.-2.2
12.-1.-2
-1.-2.2.-4.2.-3.1.-3
-1.-2.2.-4.2.-3.1
-1.-2.2.-4.2.-3
0.7.-7
0.5.-5
-2.2.-4.5.-12
-19.12.-1
