-3.-2.-1
-2.2.-4
3.-5.4
-5.4.-6.2
4.-6.2
3.0.4
-4.4.1
2.4.1
1.2.9
-12.4.1
2.0.5
4.-4.7
3.0.0
2.2.-2.2
-8.0.0
4.-8.-4
-2.-1.-2.2
4.-5.5
-2...5
4.-4.5.-5.4.-9.2.-2
-4.5.-5.4.-9.2.-2
5.-5.4.-9.2.-2
-5.4.-9.2.-2
4.-9.2.-2
-9.2.-2
5.-5.4...-2
-5.4...-2
-4.-8.-4
-8.-4.4
4.-4.14
-4.7.-12
9...4.-4
-2.-2.0.-1.-2
-2.0.-2.-1
2.-2.2.-2.2
-2.2.-2.2
5...1
1.0.-2
0.-2.0.-1
1.-3.2.1
9.-9.9
-7.9.-2.-2.2
-7.9.-2.-2
-7.9.-2
0.0.0.2.0.0
0.0.0.2.0
0.0.0.2
0.0.2.0.0
0.0.2.0
0.2.0.0
2.0.0
0.-2.-1.-4.0
0.-2.-1.-4
5.-2.-1.-2
2.-2.-1.-2
2.-2.-3.1.-1.5.-2
2.-2.-3.1.-1.5
2.-2.-3.1.-1
2.-2.-3.1
2.-2.-3
-2.-3.1.-1.5.-2
-2.-3.1.-1.5
-2.-3.1.-1
-2.-3.1
-3.1.-1.5.-2
-3.1.-1.5
-3.1.-1
1.-1.5.-2
1.-1.5
-1.5.-2
-10.10.-12
-12.10.-1
9.-2.2
1.-8.1
2.-4.2.2
-4.2.2
-6.6.-6
1.0.0
-5.4.-6
4.-4.5.-5.4.-9.2
4.-4.5.-5.4.-9
4.-4.5.-5.4
-4.5.-5.4.-9.2
-4.5.-5.4.-9
5.-5.4.-9.2
5.-5.4.-9
-5.4.-9.2
-5.4.-9
4.-9.2
9...4
2.-2.2.-2
-2.2.-2
