work_id,instr_name,part_num
33,trombone,1
33,trombone,2
33,trombone,3
33,timpani,1
33,bass drum,1
33,cymbals,1
33,triangle,1
33,strings,1
34,piccolo,1
34,flute,1
34,flute,2
34,oboe,1
34,oboe,2
34,clarinet,1
34,clarinet,2
34,bassoon,1
34,bassoon,2
34,horn,1
34,horn,2
34,trumpet,1
34,trumpet,2
34,trombone,1
34,trombone,2
34,trombone,3
34,timpani,1
34,bass drum,1
34,cymbals,1
34,triangle,1
34,strings,1
35,piccolo,1
35,flute,1
35,flute,2
35,oboe,1
35,oboe,2
35,clarinet,1
35,clarinet,2
35,bassoon,1
35,bassoon,2
35,horn,1
35,horn,2
35,trumpet,1
35,trumpet,2
35,trombone,1
35,trombone,2
35,trombone,3
35,timpani,1
35,bass drum,1
35,cymbals,1
35,triangle,1
35,strings,1
36,piccolo,1
36,flute,1
36,flute,2
36,oboe,1
36,oboe,2
36,clarinet,1
36,clarinet,2
36,bassoon,1
36,bassoon,2
36,horn,1
36,horn,2
36,horn,3
36,horn,4
36,trumpet,1
36,trumpet,2
36,trombone,1
36,trombone,2
36,trombone,3
36,tuba,1
36,timpani,1
36,strings,1
37,piccolo,1
37,flute,1
37,flute,2
37,oboe,1
37,oboe,2
37,clarinet,1
37,clarinet,2
37,bassoon,1
37,bassoon,2
37,horn,1
37,horn,2
37,horn,3
37,horn,4
37,trumpet,1
37,trumpet,2
37,trombone,1
37,trombone,2
37,trombone,3
37,tuba,1
37,timpani,1
37,strings,1
38,piccolo,1
38,flute,1
38,flute,2
38,oboe,1
38,oboe,2
38,clarinet,1
38,clarinet,2
38,bassoon,1
38,bassoon,2
38,horn,1
38,horn,2
38,horn,3
38,horn,4
38,trumpet,1
38,trumpet,2
38,trombone,1
38,trombone,2
38,trombone,3
38,tuba,1
38,timpani,1
38,strings,1
39,piccolo,1
39,flute,1
39,flute,2
39,oboe,1
39,oboe,2
39,clarinet,1
39,clarinet,2
39,bassoon,1
39,bassoon,2
39,horn,1
39,horn,2
39,horn,3
39,horn,4
39,trumpet,1
39,trumpet,2
39,trombone,1
39,trombone,2
39,trombone,3
39,tuba,1
39,timpani,1
39,strings,1
40,piccolo,1
40,flute,1
40,flute,2
40,oboe,1
40,oboe,2
40,clarinet,1
40,clarinet,2
40,bassoon,1
40,bassoon,2
40,horn,1
40,horn,2
40,horn,3
40,horn,4
40,trumpet,1
40,trumpet,2
40,trombone,1
40,trombone,2
40,timpani,1
40,strings,1
41,piccolo,1
41,flute,1
41,flute,2
41,oboe,1
41,oboe,2
41,clarinet,1
41,clarinet,2
41,bassoon,1
41,bassoon,2
41,horn,1
41,horn,2
41,horn,3
41,horn,4
41,trumpet,1
41,trumpet,2
41,trombone,1
41,trombone,2
41,timpani,1
41,strings,1
42,piccolo,1
42,flute,1
42,flute,2
42,oboe,1
42,oboe,2
42,clarinet,1
42,clarinet,2
42,bassoon,1
42,bassoon,2
42,horn,1
42,horn,2
42,horn,3
42,horn,4
42,trumpet,1
42,trumpet,2
42,trombone,1
42,trombone,2
42,timpani,1
42,strings,1
43,piccolo,1
43,flute,1
43,flute,2
43,oboe,1
43,oboe,2
43,clarinet,1
43,clarinet,2
43,bassoon,1
43,bassoon,2
43,horn,1
43,horn,2
43,horn,3
43,horn,4
43,trumpet,1
43,trumpet,2
43,trombone,1
43,trombone,2
43,timpani,1
43,strings,1
44,piano,1
45,piano,1
46,piano,1
47,piano,1
48,piano,1
49,piano,1
50,piano,1
51,piano,1
52,piccolo,1
52,flute,1
52,flute,2
52,oboe,1
52,oboe,2
52,clarinet,1
52,clarinet,2
52,bassoon,1
52,bassoon,2
52,horn,1
52,horn,2
52,horn,3
52,horn,4
52,trumpet,1
52,trumpet,2
52,trombone,1
52,trombone,2
52,trombone,3
52,timpani,1
52,bass drum,1
52,cymbals,1
52,triangle,1
52,glockenspiel,1
52,strings,1
53,piccolo,1
53,flute,1
53,flute,2
53,oboe,1
53,oboe,2
53,clarinet,1
53,clarinet,2
53,bassoon,1
53,bassoon,2
53,horn,1
53,horn,2
53,horn,3
53,horn,4
53,trumpet,1
53,trumpet,2
53,trombone,1
53,trombone,2
53,trombone,3
53,timpani,1
53,bass drum,1
53,cymbals,1
53,triangle,1
53,glockenspiel,1
53,strings,1
54,piccolo,1
54,flute,1
54,flute,2
54,oboe,1
54,oboe,2
54,clarinet,1
54,clarinet,2
54,bassoon,1
54,bassoon,2
54,horn,1
54,horn,2
54,horn,3
54,horn,4
54,trumpet,1
54,trumpet,2
54,trombone,1
54,trombone,2
54,trombone,3
54,timpani,1
54,bass drum,1
54,cymbals,1
54,triangle,1
54,glockenspiel,1
54,strings,1
55,piccolo,1
55,flute,1
55,flute,2
55,oboe,1
55,oboe,2
55,clarinet,1
55,clarinet,2
55,bassoon,1
55,bassoon,2
55,horn,1
55,horn,2
55,horn,3
55,horn,4
55,trumpet,1
55,trumpet,2
55,trombone,1
55,trombone,2
55,trombone,3
55,timpani,1
55,bass drum,1
55,cymbals,1
55,triangle,1
55,glockenspiel,1
55,strings,1
56,piccolo,1
56,flute,1
56,flute,2
56,oboe,1
56,oboe,2
56,clarinet,1
56,clarinet,2
56,bassoon,1
56,bassoon,2
56,horn,1
56,horn,2
56,horn,3
56,horn,4
56,trumpet,1
56,trumpet,2
56,trombone,1
56,trombone,2
56,trombone,3
56,timpani,1
56,bass drum,1
56,cymbals,1
56,triangle,1
56,glockenspiel,1
56,strings,1
57,piccolo,1
57,flute,1
57,flute,2
57,oboe,1
57,oboe,2
57,clarinet,1
57,clarinet,2
57,bassoon,1
57,bassoon,2
57,horn,1
57,horn,2
57,horn,3
57,horn,4
57,trumpet,1
57,trumpet,2
57,trombone,1
57,trombone,2
57,trombone,3
57,timpani,1
57,bass drum,1
57,cymbals,1
57,triangle,1
57,glockenspiel,1
57,strings,1
58,piccolo,1
58,flute,1
58,flute,2
58,oboe,1
58,oboe,2
58,clarinet,1
58,clarinet,2
58,bassoon,1
58,bassoon,2
58,horn,1
58,horn,2
58,horn,3
58,horn,4
58,trumpet,1
58,trumpet,2
58,trombone,1
58,trombone,2
58,trombone,3
58,timpani,1
58,bass drum,1
58,cymbals,1
58,triangle,1
58,glockenspiel,1
58,strings,1
59,piccolo,1
59,flute,1
59,flute,2
59,oboe,1
59,oboe,2
59,clarinet,1
59,clarinet,2
59,bassoon,1
59,bassoon,2
59,horn,1
59,horn,2
59,horn,3
59,horn,4
59,trumpet,1
59,trumpet,2
59,trombone,1
59,trombone,2
59,trombone,3
59,timpani,1
59,bass drum,1
59,cymbals,1
59,triangle,1
59,glockenspiel,1
59,strings,1
60,piccolo,1
60,flute,1
60,flute,2
60,oboe,1
60,oboe,2
60,english horn,1
60,clarinet,1
60,clarinet,1
60,bassoon,1
60,bassoon,2
60,horn,1
60,horn,2
60,horn,3
60,horn,4
60,trumpet,1
60,trumpet,2
60,trombone,1
60,trombone,2
60,trombone,3
60,tuba,1
60,timpani,1
60,strings,1
61,piccolo,1
61,flute,1
61,flute,2
61,oboe,1
61,oboe,2
61,english horn,1
61,clarinet,1
61,clarinet,1
61,bassoon,1
61,bassoon,2
61,horn,1
61,horn,2
61,horn,3
61,horn,4
61,trumpet,1
61,trumpet,2
61,trombone,1
61,trombone,2
61,trombone,3
61,tuba,1
61,timpani,1
61,strings,1
62,piccolo,1
62,flute,1
62,flute,2
62,oboe,1
62,oboe,2
62,english horn,1
62,clarinet,1
62,clarinet,1
62,bassoon,1
62,bassoon,2
62,horn,1
62,horn,2
62,horn,3
62,horn,4
62,trumpet,1
62,trumpet,2
62,trombone,1
62,trombone,2
62,trombone,3
62,tuba,1
62,timpani,1
62,strings,1
63,piccolo,1
63,flute,1
63,flute,2
63,oboe,1
63,oboe,2
63,english horn,1
63,clarinet,1
63,clarinet,1
63,bassoon,1
63,bassoon,2
63,horn,1
63,horn,2
63,horn,3
63,horn,4
63,trumpet,1
63,trumpet,2
63,trombone,1
63,trombone,2
63,trombone,3
63,tuba,1
63,timpani,1
63,strings,1
64,piccolo,1
64,flute,1
64,flute,2
64,oboe,1
64,oboe,2
64,english horn,1
64,clarinet,1
64,clarinet,2
64,bassoon,1
64,bassoon,2
64,horn,1
64,horn,2
64,horn,3
64,horn,4
64,trumpet,1
64,trumpet,2
64,trombone,1
64,trombone,2
64,trombone,3
64,tuba,1
64,timpani,1
64,cymbals,1
64,triangle,1
64,strings,1
65,piccolo,1
65,flute,1
65,flute,2
65,oboe,1
65,oboe,2
65,english horn,1
65,clarinet,1
65,clarinet,2
65,bassoon,1
65,bassoon,2
65,horn,1
65,horn,2
65,horn,3
65,horn,4
65,trumpet,1
65,trumpet,2
65,trombone,1
65,trombone,2
65,trombone,3
65,tuba,1
65,timpani,1
65,cymbals,1
65,triangle,1
65,strings,1
66,piccolo,1
66,flute,1
66,flute,2
66,oboe,1
66,oboe,2
66,english horn,1
66,clarinet,1
66,clarinet,2
66,bassoon,1
66,bassoon,2
66,horn,1
66,horn,2
66,horn,3
66,horn,4
66,trumpet,1
66,trumpet,2
66,trombone,1
66,trombone,2
66,trombone,3
66,tuba,1
66,timpani,1
66,cymbals,1
66,triangle,1
66,strings,1
67,piccolo,1
67,flute,1
67,flute,2
67,oboe,1
67,oboe,2
67,english horn,1
67,clarinet,1
67,clarinet,2
67,bassoon,1
67,bassoon,2
67,horn,1
67,horn,2
67,horn,3
67,horn,4
67,trumpet,1
67,trumpet,2
67,trombone,1
67,trombone,2
67,trombone,3
67,tuba,1
67,timpani,1
67,cymbals,1
67,triangle,1
67,strings,1
68,piano,1
69,piano,1
70,piano,1
71,piano,1
72,piano,1
73,piano,1
74,piano,1
75,piano,1
76,piano,1
77,piano,1
78,piano,1
79,piano,1
80,piano,1
81,piano,1
82,piano,1
83,piano,1
84,piano,1
85,piano,1
86,piano,1
87,piano,1
88,piano,1
89,trumpet,1
89,flute,1
89,oboe,1
89,violin,1
89,viola,1
89,cello,1
90,flute,1
90,oboe,1
90,violin,1
90,cello,1
91,trumpet,1
91,flute,1
91,oboe,1
91,violin,1
91,viola,1
91,cello,1
